Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,Message
14:09:23:370,2172.389,11,Event,,,,0.0,0.0,none,,,,,,,,,Mark should happen if checked on terminal.
14:09:23:371,2172.389,11,Event,,,,0.0,0.0,none,,,,,,,,,coinsetID:1 absolute and delta(local position)
14:09:23:404,2172.423,11,RTdata,-6.793 -0.035 -8.372,0.156 87.150 356.613,0.992 -0.078 0.099,1.0,1.0,fakeWallWest,1.655 1.409 1.546,-0.962 -0.003 -0.272,-0.945 -0.078 -0.318,0.777 1.342 1.203,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:09:23:437,2172.456,11,RTdata,-6.794 -0.035 -8.375,0.323 92.595 356.678,0.990 -0.062 -0.123,1.0,1.0,fakeWallWest,1.655 1.409 1.550,-0.984 -0.006 -0.179,-0.993 -0.062 -0.101,0.495 1.341 1.377,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:09:23:471,2172.489,11,RTdata,-6.796 -0.036 -8.378,0.316 98.046 356.675,0.976 -0.050 -0.210,1.0,1.0,fakeWallWest,1.656 1.408 1.553,-0.996 -0.006 -0.085,-0.999 -0.050 -0.014,0.813 1.370 1.502,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:09:23:505,2172.523,11,RTdata,-6.798 -0.035 -8.381,0.333 103.351 356.677,0.957 -0.048 -0.285,1.0,1.0,fakeWallWest,1.657 1.409 1.555,-1.000 -0.006 0.007,-0.997 -0.048 0.064,0.723 1.368 1.573,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:09:23:537,2172.556,11,RTdata,-6.800 -0.035 -8.382,0.473 108.371 356.682,0.934 -0.056 -0.354,1.0,1.0,fakeWallWest,1.659 1.409 1.558,-0.995 -0.008 0.095,-0.989 -0.056 0.136,0.817 1.367 1.598,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:09:23:571,2172.59,11,RTdata,-6.803 -0.035 -8.383,0.691 113.214 356.654,0.918 -0.065 -0.391,1.0,1.0,fakeWallWest,1.662 1.409 1.559,-0.984 -0.012 0.179,-0.982 -0.065 0.176,0.610 1.346 1.704,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:09:23:604,2172.623,11,RTdata,-6.805 -0.034 -8.383,0.865 117.506 356.627,0.896 -0.061 -0.439,1.0,1.0,fakeWallWest,1.664 1.410 1.560,-0.968 -0.015 0.252,-0.972 -0.061 0.228,0.192 1.324 1.851,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
14:09:23:637,2172.656,11,RTdata,-6.807 -0.033 -8.382,0.903 121.032 356.803,0.887 -0.090 -0.453,1.0,1.0,fakeWallWest,1.665 1.411 1.559,-0.950 -0.016 0.311,-0.966 -0.090 0.243,-0.354 1.229 2.010,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,
