Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,AmplitudeDeg,DirectionRadial,EyeLeft,EyeRight,VelocityDegps,Message
12:14:41:289,151.7383,0,Event,,,,0,0,none,,,,,,,,,,,,,,Started Experiment
12:14:41:289,151.7383,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinsetID:0 absolute and delta(local position)
12:14:41:289,151.7383,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint0:  x: -0.08542307 y: -1.0015 z: 0.1895603 deltax:0 deltay:0 deltaz:0
12:14:41:289,151.7383,0,Event,,,,0,0,none,,,,,,,,,,,,,,Mark should happen if checked on terminal.
12:14:41:334,152.0716,0,RTdata,0.002 -0.029 -0.080,349.604 355.260 0.170,0.000 0.000 0.000,0,0,none,0.091 0.972 -0.268,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:41:334,152.0716,0,Event,,,,0,0,none,,,,,,,,,,,,,,Repositioned and ready to start block or round
12:14:41:463,152.2109,0,RTdata,0.002 -0.029 -0.080,349.610 355.267 0.173,0.000 0.000 0.000,0,0,none,0.091 0.972 -0.268,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:41:538,152.2884,0,RTdata,0.002 -0.029 -0.080,349.606 355.271 0.168,0.000 0.000 0.000,0,0,none,0.091 0.972 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:41:559,152.3111,0,RTdata,0.002 -0.029 -0.080,349.613 355.270 0.168,0.000 0.000 0.000,0,0,none,0.091 0.972 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:41:579,152.3315,0,RTdata,0.002 -0.029 -0.080,349.626 355.268 0.164,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:41:619,152.3704,0,RTdata,0.002 -0.029 -0.080,349.608 355.266 0.163,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:41:640,152.3922,0,RTdata,0.002 -0.029 -0.080,349.627 355.262 0.168,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:41:662,152.4133,0,RTdata,0.002 -0.029 -0.080,349.609 355.263 0.164,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:41:685,152.4351,0,RTdata,0.002 -0.029 -0.080,349.614 355.261 0.163,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:41:721,152.4708,0,RTdata,0.002 -0.029 -0.080,349.613 355.261 0.164,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:41:742,152.4935,0,RTdata,0.002 -0.029 -0.080,349.617 355.261 0.165,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:41:764,152.5148,0,RTdata,0.002 -0.029 -0.080,349.627 355.260 0.168,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
12:14:41:805,152.5541,0,RTdata,0.002 -0.029 -0.080,349.613 355.263 0.163,0.000 0.000 0.000,0,0,none,0.091 0.973 -0.269,-0.093 0.180 0.979,0.000 0.000 0.000,0.088 1.002 -0.189,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
