Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,AmplitudeDeg,DirectionRadial,EyeLeft,EyeRight,VelocityDegps,Message
15:03:03:394,224.8518,0,Event,,,,0,0,none,,,,,,,,,,,,,,Started Experiment
15:03:03:394,224.8518,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinsetID:1 absolute and delta(local position)
15:03:03:395,224.8518,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint0:  x: -3.343322 y: -1.409263 z: -10.29032 deltax:-0.5 deltay:0 deltaz:2.5
15:03:03:395,224.8518,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint1:  x: -0.6202989 y: -1.409263 z: -5.429748 deltax:-2.5 deltay:0 deltaz:-2.7
15:03:03:396,224.8518,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint2:  x: -6.378367 y: -1.409263 z: -6.820663 deltax:3 deltay:0 deltaz:-0.5
15:03:03:396,224.8518,0,Event,,,,0,0,none,,,,,,,,,,,,,,Mark should happen if checked on terminal.
15:03:03:396,224.8518,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinsetID:1 absolute and delta(local position)
15:03:03:396,224.8518,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint0:  x: -3.343322 y: -1.409263 z: -10.29032 deltax:-0.5 deltay:0 deltaz:2.5
15:03:03:396,224.8518,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint1:  x: -0.6202989 y: -1.409263 z: -5.429748 deltax:-2.5 deltay:0 deltaz:-2.7
15:03:03:396,224.8518,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint2:  x: -6.378367 y: -1.409263 z: -6.820663 deltax:3 deltay:0 deltaz:-0.5
15:03:03:415,224.9865,0,RTdata,-7.050 0.348 -3.873,0.656 59.565 358.452,0.988 -0.076 0.132,1,1,fakeWallSouth,4.086 1.757 -3.322,-0.781 -0.011 -0.625,-0.959 -0.076 -0.272,2.320 1.624 -3.851,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
15:03:03:439,225.0188,0,RTdata,-7.050 0.347 -3.875,0.696 60.982 358.263,0.991 -0.063 0.121,1,1,fakeWallSouth,4.086 1.757 -3.320,-0.796 -0.012 -0.605,-0.963 -0.063 -0.261,0.824 1.553 -4.259,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,3.964,173.687,125.912 161.746,243.480 94.630,3.992,
15:03:03:473,225.0521,0,RTdata,-7.049 0.347 -3.877,0.765 62.441 358.078,0.996 -0.058 0.070,1,1,fakeWallWest,4.085 1.756 -3.318,-0.811 -0.013 -0.585,-0.976 -0.058 -0.212,1.653 1.618 -3.885,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,123.117 165.130,243.904 93.611,NaN,
15:03:03:506,225.0856,0,RTdata,-7.049 0.347 -3.879,0.904 63.887 357.911,0.996 -0.065 0.065,1,1,fakeWallWest,4.084 1.756 -3.315,-0.826 -0.016 -0.564,-0.976 -0.065 -0.207,1.967 1.624 -3.798,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,1.446,187.769,124.368 161.831,245.040 93.853,20.053,
15:03:03:540,225.1191,0,RTdata,-7.048 0.347 -3.881,1.055 65.283 357.737,0.996 -0.057 0.063,1,1,fakeWallWest,4.083 1.756 -3.313,-0.839 -0.018 -0.544,-0.977 -0.057 -0.205,1.308 1.604 -3.940,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,2.780,177.641,124.369 158.467,246.693 94.384,21.024,
15:03:03:573,225.1523,0,RTdata,-7.048 0.347 -3.883,1.152 66.566 357.544,0.997 -0.045 0.070,1,1,fakeWallWest,4.083 1.756 -3.312,-0.851 -0.020 -0.525,-0.976 -0.045 -0.212,1.516 1.646 -3.904,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,3.924,177.688,124.892 155.725,248.423 94.919,17.930,
15:03:03:606,225.1855,0,RTdata,-7.047 0.347 -3.885,1.226 67.680 357.446,0.996 -0.055 0.065,1,1,fakeWallWest,4.082 1.756 -3.310,-0.861 -0.021 -0.508,-0.977 -0.055 -0.206,0.859 1.580 -4.030,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,4.943,176.555,125.118 153.241,249.794 95.425,14.129,
15:03:03:639,225.2192,0,RTdata,-7.047 0.347 -3.886,1.222 68.625 357.439,0.996 -0.059 0.062,1,1,fakeWallWest,4.081 1.756 -3.309,-0.869 -0.021 -0.494,-0.977 -0.059 -0.204,1.163 1.584 -3.947,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,5.875,176.891,125.578 151.015,250.864 96.171,12.091,
15:03:03:674,225.2529,0,RTdata,-7.047 0.347 -3.887,1.270 69.407 357.430,0.997 -0.051 0.062,1,1,fakeWallWest,4.081 1.756 -3.308,-0.876 -0.022 -0.482,-0.978 -0.051 -0.204,1.796 1.644 -3.805,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,6.624,177.272,125.998 149.232,251.571 96.624,8.851,
15:03:03:707,225.2861,0,RTdata,-7.047 0.347 -3.888,1.254 70.125 357.401,0.996 -0.052 0.067,1,1,fakeWallWest,4.081 1.756 -3.307,-0.882 -0.022 -0.471,-0.977 -0.052 -0.209,1.846 1.641 -3.803,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,126.176 147.467,252.230 97.210,NaN,
15:03:03:740,225.3195,0,RTdata,-7.047 0.347 -3.889,1.189 70.759 357.381,0.996 -0.057 0.063,1,1,fakeWallWest,4.081 1.756 -3.306,-0.887 -0.021 -0.461,-0.977 -0.057 -0.205,1.821 1.627 -3.796,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,126.768 145.920,252.932 97.888,NaN,
