Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,AmplitudeDeg,DirectionRadial,EyeLeft,EyeRight,VelocityDegps,Message,BlockNum,RoundNum,BlockType,CoinSetID
13:55:50:241,63.5276,0,Event,,,,0.0,0.0,none,,,,,,,,,,,,,,Started Experiment,,,,
13:55:50:241,63.5276,0,Event,,,,0.0,0.0,none,,,,,,,,,,,,,,coinsetID:4 absolute and delta(local position),,,,4.0
13:55:50:242,63.5276,0,Event,,,,0.0,0.0,none,,,,,,,,,,,,,,coinpoint0:  x: -6.735979 y: -1.426303 z: -5.591428 deltax:3 deltay:0 deltaz:-0.5,,,,4.0
13:55:50:242,63.5276,0,Event,,,,0.0,0.0,none,,,,,,,,,,,,,,coinpoint1:  x: -4.086181 y: -1.426303 z: -9.363506 deltax:-0.5 deltay:0 deltaz:2.5,,,,4.0
13:55:50:243,63.5276,0,Event,,,,0.0,0.0,none,,,,,,,,,,,,,,coinpoint2:  x: -0.8628385 y: -1.426303 z: -4.819272 deltax:-2.5 deltay:0 deltaz:-2.7,,,,4.0
13:55:50:243,63.5276,0,Event,,,,0.0,0.0,none,,,,,,,,,,,,,,Mark should happen if checked on terminal.,,,,4.0
13:55:50:269,63.66231,0,RTdata,-3.973 0.446 -6.791,16.412 187.972 357.291,-0.120 -0.325 -0.938,1.0,1.0,fakeGround,0.026 1.872 -0.021,-0.106 -0.283 0.953,-0.115 -0.325 0.939,-0.099 1.524 0.990,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.0,0.0,0.000 0.000,0.000 0.000,0.0,,,,,4.0
13:55:50:291,63.69444,0,RTdata,-3.974 0.446 -6.792,16.434 187.984 357.277,-0.136 -0.450 -0.882,1.0,1.0,fakeGround,0.027 1.872 -0.019,-0.106 -0.283 0.953,-0.086 -0.450 0.889,-0.116 1.135 1.440,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,154.172 147.125,219.548 142.025,,,,,,4.0
13:55:50:324,63.72785,0,RTdata,-3.975 0.446 -6.793,16.477 187.971 357.264,-0.134 -0.456 -0.880,1.0,1.0,fakeGround,0.027 1.872 -0.018,-0.106 -0.284 0.953,-0.088 -0.456 0.886,-0.132 1.049 1.588,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.551,182.059,154.521 145.828,219.119 141.687,5.48,,,,,4.0
13:55:50:358,63.76131,0,RTdata,-3.976 0.446 -6.795,16.514 187.943 357.244,-0.136 -0.452 -0.882,1.0,1.0,fakeGround,0.028 1.872 -0.017,-0.106 -0.284 0.953,-0.086 -0.452 0.888,-0.125 1.073 1.557,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,154.540 145.151,219.258 140.835,,,,,,4.0
13:55:50:391,63.79449,0,RTdata,-3.976 0.446 -6.796,16.566 187.887 357.234,-0.137 -0.452 -0.881,1.0,1.0,fakeGround,0.028 1.872 -0.015,-0.107 -0.285 0.952,-0.085 -0.452 0.888,-0.106 1.158 1.392,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,154.641 144.626,219.314 140.232,,,,,,4.0
13:55:50:425,63.82803,0,RTdata,-3.977 0.446 -6.798,16.665 187.804 357.259,-0.132 -0.452 -0.882,1.0,1.0,fakeGround,0.029 1.872 -0.013,-0.109 -0.287 0.952,-0.090 -0.452 0.888,-0.147 0.987 1.737,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,,,154.599 144.297,219.595 139.721,,,,,,4.0
