Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,AmplitudeDeg,DirectionRadial,EyeLeft,EyeRight,VelocityDegps,Message
19:20:30:904,168.8238,0,Event,,,,0,0,none,,,,,,,,,,,,,,Started Experiment
19:20:30:904,168.8238,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinsetID:0 absolute and delta(local position)
19:20:30:904,168.8238,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint0:  x: -4.984975 y: -1.466588 z: -2.720432 deltax:-1 deltay:0 deltaz:0
19:20:30:905,168.8238,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint1:  x: -4.782296 y: -1.466588 z: -1.741187 deltax:0 deltay:0 deltaz:0
19:20:30:905,168.8238,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint2:  x: -4.579618 y: -1.466588 z: -0.7619413 deltax:1 deltay:0 deltaz:0
19:20:30:905,168.8238,0,Event,,,,0,0,none,,,,,,,,,,,,,,Mark should happen if checked on terminal.
19:20:30:926,169.1572,0,RTdata,0.204 0.125 0.262,19.565 51.023 359.306,0.873 -0.032 0.488,1,1,fakeWallSouth,2.972 1.592 -4.477,0.729 -0.335 -0.597,0.654 -0.032 -0.756,3.231 1.558 -4.774,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
19:20:30:948,169.1887,0,RTdata,0.199 0.134 0.256,19.014 51.106 358.984,0.870 -0.053 0.491,1,1,fakeWallSouth,2.965 1.601 -4.473,0.730 -0.326 -0.600,0.657 -0.053 -0.752,3.223 1.559 -4.765,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,4.771,253.525,170.234 154.140,197.962 102.597,45.931,
19:20:30:982,169.2221,0,RTdata,0.193 0.145 0.249,18.358 51.283 358.572,0.865 -0.055 0.499,1,1,fakeWallSouth,2.958 1.611 -4.469,0.731 -0.315 -0.605,0.664 -0.055 -0.746,3.218 1.567 -4.757,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,6.319,256.760,174.033 154.781,196.570 105.063,28.287,
19:20:31:015,169.2555,0,RTdata,0.186 0.156 0.242,17.683 51.501 358.354,0.820 -0.134 0.557,1,1,fakeWallSouth,2.949 1.622 -4.463,0.732 -0.304 -0.610,0.711 -0.134 -0.690,3.220 1.550 -4.723,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,192.102 147.129,189.453 118.219,NaN,
19:20:31:049,169.2886,0,RTdata,0.177 0.167 0.234,16.911 51.776 358.305,0.811 -0.183 0.555,1,1,fakeWallSouth,2.940 1.634 -4.456,0.732 -0.291 -0.616,0.708 -0.183 -0.682,3.208 1.543 -4.711,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,1.345,241.345,200.321 143.936,185.502 120.149,40.353,
